decision_id,review_type,subject_scope,group_id,subject_id_a,subject_id_b,provider_split_a,provider_split_b,decision,confidence,rationale,evidence_figure,phase5_action,notes
dup-011,same_split_near_duplicate,pair,manual_dup_011,p5lxtMTKDL0gIgbqSrls,xwPbKAjD2vxaff0GdKp1,train,train,EXACT_SEMANTIC_DUPLICATE,HIGH,"Reviewers judged the two images to show the same underlying scene. The provider placed both in the same split, so this was not leakage under the provider's own split and phase 4B did not review it; the provider split has since been rejected, and the phase 5C split must not separate them.",reports/figures/review_g_near_duplicates.jpg,GROUP_TOGETHER,scene=grid shelf holding many hard hats; byte_duplicate=NO; semantic_duplicate=YES; dhash=0; phash=2
zero-ood-001,zero_instance_image,image,,9b7VLDWDFhy21Ygmz7ss,,train,,OUT_OF_DOMAIN,HIGH,"Reviewers judged the image to fall outside the project's target domain of real construction and PPE imagery. This is a domain-curation judgement, not a claim that an annotation is missing.",reports/figures/review_f_zero_instance.jpg,EXCLUDE_CANDIDATE,"reviewer description: cartoon/illustration of a worker. Contains a human-like worker/PPE illustration. Deliberately NOT recorded as a valid negative: its zero annotations are not evidence that a real worker was missed, because the project targets real imagery."
zero-ood-002,zero_instance_image,image,,KgOOMlBEXp0QxhSxTT6a,,train,,OUT_OF_DOMAIN,HIGH,"Reviewers judged the image to fall outside the project's target domain of real construction and PPE imagery. This is a domain-curation judgement, not a claim that an annotation is missing.",reports/figures/review_f_zero_instance.jpg,EXCLUDE_CANDIDATE,reviewer description: office/laboratory-like interior
zero-ood-003,zero_instance_image,image,,KqRSROf90W22N1qzQzN0,,valid,,OUT_OF_DOMAIN,HIGH,"Reviewers judged the image to fall outside the project's target domain of real construction and PPE imagery. This is a domain-curation judgement, not a claim that an annotation is missing.",reports/figures/review_f_zero_instance.jpg,EXCLUDE_CANDIDATE,reviewer description: yellow taxi/street scene
zero-keep-001,zero_instance_image,image,,60TqAIaOldetEAmBqqMX,,test,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-002,zero_instance_image,image,,62UoaBv0beM5cBLCubmT,,train,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-003,zero_instance_image,image,,7ZBa5LYXLSg2gd59x0Nl,,train,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-004,zero_instance_image,image,,9koFugzZozUI9YIfWZk0,,train,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-005,zero_instance_image,image,,NtpAqzunm5la8DrZocsj,,train,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-006,zero_instance_image,image,,OnqsKM2CX6FubTfVtaAG,,valid,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-007,zero_instance_image,image,,aY9eNC7XGXN7yzM04BIy,,test,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-008,zero_instance_image,image,,arsAD5W3OM2LZE59FvZO,,train,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-009,zero_instance_image,image,,fl9aZo56CB47TAGghJlT,,test,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-010,zero_instance_image,image,,inWNXCMjoiZbYJ8VZYuO,,train,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-011,zero_instance_image,image,,jZRJXWZrSuoa2xxRDSQL,,test,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-012,zero_instance_image,image,,l6p3b5329wOTIlDWrxKz,,train,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-013,zero_instance_image,image,,qx08jrWTs2SMpvKiaAT7,,train,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
zero-keep-014,zero_instance_image,image,,wpbZJyURzZHruvXGMRtd,,train,,NO_OBVIOUS_MISSING_TARGET_LABEL,NOT_STATED,Reviewers found no evidence of a missing target label. Most of the seventeen zero-instance images read as genuine zero-target or context images. This is a set-level conclusion applied to each remaining member; the reviewers stated no per-image confidence and gave no finer domain classification.,reports/figures/review_f_zero_instance.jpg,RETAIN_CANDIDATE,domain relevance ranges from construction context to ambiguous industrial/safety context; no finer classification was supplied
geom-001,bbox_vs_segmentation,set,,,,,,SEGMENTATION_GEOMETRY_PREFERRED,NOT_STATED,"On the readable high-discrepancy RLE panels, the box derived from the segmentation appeared more tightly aligned with the visible object than the supplied COCO box, which appeared systematically inflated.",reports/figures/review_k_bbox_vs_segmentation.jpg,PREFER_SEGMENTATION_DERIVED_BBOX,"panel group: largest_test_1:ann144, largest_test_2:ann119, largest_test_3:ann10, largest_train_1:ann1831, largest_train_2:ann689, largest_train_3:ann1835, largest_valid_1:ann319, largest_valid_2:ann208, largest_valid_3:ann96"
geom-002,bbox_vs_segmentation,set,,,,,,BOTH_ACCEPTABLE,NOT_STATED,"On the low-discrepancy and representative panels, both the supplied box and the segmentation-derived box appeared operationally acceptable.",reports/figures/review_k_bbox_vs_segmentation.jpg,NONE,"panel group: representative_polygon:ann1, representative_polygon:ann1, representative_rle:ann2, representative_rle:ann4"
geom-003,bbox_vs_segmentation,set,,,,,,UNCERTAIN,NOT_STATED,"Some panels on the sheet were not readable or did not render legibly. The reviewers did not identify which, so no per-annotation judgement is recorded for them, and the membership of the two set-level judgements above is stated as the panel groups the sheet was built from rather than as a per-panel certification.",reports/figures/review_k_bbox_vs_segmentation.jpg,NONE,unreadable panels were not identified by the reviewers; count unknown
class-001,class_semantics,set,,,,,,VALID_OVERALL,NOT_STATED,"The reviewed examples generally support the reading that vest_loose is a safety vest not being worn on a person - hanging, stored or otherwise loose in the scene.",reports/figures/review_b_class_vest_loose.jpg,NONE,class: vest_loose
class-002,class_data_diversity,set,,,,,,VERY_LOW,NOT_STATED,"The class is carried by a handful of source images, several instances are concentrated inside individual multi-object images, and some examples with light or white hanging garments are semantically more ambiguous than the clear high-visibility-vest examples.",reports/figures/review_b_class_vest_loose.jpg,ENFORCE_RARE_CLASS_COVERAGE,class: vest_loose; 8/436 source images; 45 instances; provider test coverage 0 images; flags: RARE_CLASS|LOW_SOURCE_IMAGE_DIVERSITY|CONTEXT_SHORTCUT_RISK|SOME_SEMANTIC_AMBIGUITY
domain-001,dataset_domain,set,,,,,,ACCEPTABLE_WITH_DOMAIN_HETEROGENEITY,NOT_STATED,"The overview sheet shows real construction-site imagery mixed with occupational-safety imagery, posed worker portraits, stock photography, product-like PPE images, isolated PPE objects, contextual construction scenes and background scenes. The dataset is usable, but it is not a purely field-captured construction-site dataset.",reports/figures/review_a_overview.jpg,CONSTRAIN_EXTERNAL_VALIDITY_CLAIMS,"describe the dataset as heterogeneous construction/PPE imagery containing site, stock, portrait and product-style images; do not imply that a result here proves deployment performance on arbitrary construction-site video"
split-001,provider_split,set,,,,,,UNSUITABLE_FOR_FINAL_PROTOCOL,HIGH,Rejected for three reasons: (1) six semantic duplicate pairs were visually confirmed to cross split boundaries; (2) the provider test split contains zero vest_loose instances; (3) the rare class is too thinly represented for a defensible per-class final evaluation under this partition.,reports/figures/review_h_near_duplicates.jpg|reports/figures/review_b_class_vest_loose.jpg,REDESIGN_SPLIT,"supersedes the phase 4A classification UNDETERMINED_PENDING_VISUAL_REVIEW; the SPLIT is rejected, the DATASET is not"
drift-001,annotation_snapshot_drift,set,,,,,,UNRESOLVED_CANONICALIZATION,NOT_STATED,"The live source project and the frozen v4 export describe different annotation counts, and the source API exposes complete mask geometry for only part of the current annotations. Which population is canonical is unresolved and is not decided by the visual audit.",,RESOLVE_BEFORE_FREEZE,Alternatives: (A) use v4 as the canonical frozen snapshot; (B) use the current source state despite incomplete mask geometry through the inspected API; (C) find a reproducible provider mechanism to obtain the current source state with complete instance-segmentation geometry. Preferred investigation: C before accepting A. Priority: HIGH phase 5 entry condition.
geomsrc-001,source_annotation_geometry,image,,OQJwjQoYsf1KUgr9G0V8,,test,,MANUAL_REVIEW_STILL_REQUIRED,NOT_STATED,"Two source annotations carry no recognised representation. They must not silently enter or disappear from the model-ready dataset, so they are held open rather than deleted.",,PHASE5_CANONICALIZATION_ITEM,"2 annotations of unknown representation on this image; both under 16 px on a side and positioned at the image edge; not shown on any contact sheet, so no visual judgement exists"
