gap_id,severity,persona,title,evidence,recommended_fix,effort,dependency,mandatory
GAP-012,P1,RECRUITER,"The README is a 2434-line phase log, not a portfolio entry point",The first screen is a fifty-line status blockquote of phase numbers and fingerprints. Setup is at line 2348 and Results at line 2417. Phase-history detail dominates the document.,"Restructure to hero, results, architecture, how it works, reproduction, demo, limitations; move the phase narrative to a linked history document. Delete nothing - relocate it.",LARGE,"GAP-001, DIA-01, DIA-03",no
GAP-013,P1,PROFESSOR; ML_ENGINEER,Stale claims presented as current in live documentation,"Eight probes, computed on each audit run. Includes 'No test metric exists.' and 'no test number exists' in the status table beside the row reporting the test metrics, and the superseded pre-correction spatial fingerprint 9877b88d... quoted as the phase 10B result in reports/roadmap.md, which CLAUDE.md states must not be quoted.","Retire each probe: correct the roadmap fingerprint to 3988bcf6..., and either re-tense or remove the superseded status rows.",SMALL,none,no
GAP-014,P1,ML_ENGINEER,No clean-room reproduction has ever been executed,"The README promises that a third party can reproduce every number from a clean clone. Nothing has tested that claim, and reports/reproducibility_audit.md does not exist.","Run the clean-room plan recorded in this audit and publish the result, including what could not be reproduced and why.",MEDIUM,"GAP-008, GAP-009",no
GAP-015,P2,RECRUITER; PROFESSOR,No architecture diagram and no hero image,The only architecture rendering is an ASCII block under the heading 'Planned architecture'. No committed figure shows a prediction on an image.,Produce DIA-01 and DIA-03 from validation imagery.,MEDIUM,GAP-008,no
GAP-016,P2,ML_ENGINEER; PROFESSOR,135 flat report documents with no index,reports/ holds 135 documents at one level plus 73 figures. A reader cannot tell which are the current results and which are the historical record.,"Add reports/README.md routing by role - public entrypoint, scientific record, reproducibility support, historical, delivery. Move nothing.",SMALL,none,no
GAP-017,P2,ML_ENGINEER,No continuous integration,"ruff, ruff format and 2547 tests exist and pass, but no workflow runs them on push, so a reader has to take the quality gates on trust.",One GitHub Actions workflow running the three gates on push.,SMALL,none,no
GAP-018,P2,FIRST_TIME_USER,Python version and CUDA requirement are under-documented,"README says 'Python 3.11+' while .python-version pins 3.12. The CUDA 12.8 / sm_120 requirement and the explicit no-CPU-fallback rule live in CLAUDE.md, not in the setup section a newcomer reads.",State the pinned version and the GPU requirement in Setup.,SMALL,none,no
GAP-019,P2,ML_ENGINEER,A known-broken optimizer regex is retained in a phase 6 script,"scripts/train_detection_baseline.py carries an optimizer-capture regex that cannot match, because it does not strip the ANSI codes the framework wraps its log label in. Classified LOW and deliberately left, since D0 is frozen and its published numbers are unaffected.","Converge it onto detection_run.py in a cleanup phase, outside any experiment phase, and note in the code why it was left.",SMALL,none,no
GAP-020,P3,RECRUITER,"No GitHub social preview, topics or description",Repository metadata not assessed as configured; no preview image exists.,"Set description and topics, upload a 1280x640 preview.",SMALL,GAP-015,no
GAP-021,P3,PROFESSOR,Tracking bonus not started,B1 is optional and its own failure condition is bonus work started before the mandatory criteria are complete.,Attempt only after C1-C7 all exist.,MEDIUM,every mandatory deliverable,no
GAP-022,P3,ML_ENGINEER,The repository-wide holdout-identifier statement is narrower than it reads,"Phase 11 artifacts contain no holdout identifier and a test proves it. But the frozen split membership is deliberately committed for auditability in reports/final_split_assignments.csv, split_manifest.json and the phase 5C.1 candidate tables. That is by design and documented, yet a reader can take 'no holdout identifier is committed' as repository-wide.","Scope the sentence explicitly: no holdout imagery or prediction is published, and membership is recorded so the protocol can be audited.",SMALL,none,no
